,x1,x2,w
0,-1.977627783078261,0.9107956712998084,1
1,-2.4215487733177583,-0.6841361622437165,1
2,-2.4000296133743064,-0.920662978276167,1
3,2.8078167761802906,-3.3960098668682406,1
4,-2.937309816208732,-1.1412455501465444,1
5,-1.5060700888724217,-1.7101884257677435,1
6,-1.3218990920562743,-2.1056492289249142,1
7,1.134877066714949,-2.9813634133026072,1
8,-5.279607641622226,-1.693543115695208,1
9,-3.4217946499076857,-2.486450634473845,1
10,0.2756155941613747,-1.5791985921536045,1
11,-2.5642429214678586,-0.7974727904072698,1
12,-3.567021231703035,-2.4526634124632976,1
13,-2.717887405384828,-6.48743017095369,1
14,-0.0875428421912376,-5.361168251434346,1
15,0.7082695715823428,-2.0667771921337046,1
16,-2.5031377483814667,0.5227867481573281,1
17,-0.4614530965977574,-1.9829022217164411,1
18,-1.2218577626753373,-3.0910073824211404,1
19,-2.1133053910145767,-2.1758850291372065,1
20,-0.4366636954256948,-3.9468962317805367,1
21,0.73337165185632,-1.0606874341926158,1
22,-0.0780632199942688,-1.8121918151751577,1
23,-1.8767391238928617,0.3846268431639248,1
24,-2.3737531502393865,-2.3327089461129917,1
25,-1.0547314407308384,-2.428537718016607,1
26,-2.5069385613075243,-2.3710056668978985,1
27,1.4732899757826292,-3.4218924412611886,1
28,-1.6586502801259604,1.0650234304097197,1
29,-1.5964075864996077,-1.492551719040533,1
30,0.1480708935842931,-1.2999467706591707,1
31,-3.075136861768479,-1.5599543947434091,1
32,-1.209439059259216,0.285466896065861,1
33,-1.666634372658122,-0.5336118456847623,1
34,-0.7692391550476111,-4.600630212386534,1
35,-3.229806790488328,-3.002246587306681,1
36,-0.0225405023552967,-5.015928650855136,1
37,-1.1327484145912292,-0.7726873203032751,1
38,-0.6362630014303817,-1.9094771308977516,1
39,-1.3255812660256758,-1.5808167179839918,1
40,-2.7974722731061346,-0.4839950898145819,1
41,-0.4792140167197551,-4.3575786330727215,1
42,-0.2017520271255977,-1.5453291922338923,1
43,-2.14549535299971,-1.4225964590541555,1
44,-2.890981795861464,-0.8006788309988639,1
45,-2.897413499773303,0.6756902628576968,1
46,-2.4547371434994547,-0.4340562277927628,1
47,-2.2849082396416374,-1.6070906553047113,1
48,-2.9907550105970278,-1.4927744846195383,1
49,-3.5522592476270844,-0.9954737661969844,1
50,-1.2045138913313138,-2.0681858788732463,1
51,-1.8347495384383132,-3.615492267602783,1
52,-3.5795381296638635,-5.310314534276378,1
53,-2.2286532162961907,-3.558107866157312,1
54,-1.376112243935622,-0.6209323826707236,1
55,0.2045208764689086,-0.3981004370473231,1
56,-2.022908484522497,-4.221583902406557,1
57,-0.2650352939075351,-3.190809075787535,1
58,-2.5025478364268103,-1.333661179611418,1
59,0.8571075424153047,-4.359670752442835,1
60,-2.2090051399293342,-1.0208943942957007,1
61,-2.060192092827537,-1.1153202946703915,1
62,-2.843184043575309,-2.188351278373477,1
63,-0.9874169184935092,-3.0638514373122927,1
64,-1.6905984754601804,-0.8901711102171159,1
65,-1.292153728887974,-0.3699186967840226,1
66,-4.603142916980045,-0.0066407684237033,1
